engine,case_id,symbol,candidate_start,candidate_end,submit_at,candidate_px,previous_close,outcome,candidate_shares
v7,002025.SZ_20260918_894_four,002025.SZ,2026-09-18 14:56:00,2026-09-18 14:57:00,2026-09-18 14:55:00.001000,74.19000244140625,73.16000366210938,FILLED,2600
v7,002025.SZ_20260918_894_six,002025.SZ,2026-09-18 14:55:00,2026-09-18 14:56:00,2026-09-18 14:55:00.001000,74.30000305175781,73.16000366210938,before_submit,0
v7,002025.SZ_20260918_894_six,002025.SZ,2026-09-18 14:56:00,2026-09-18 14:57:00,2026-09-18 14:55:00.001000,74.19000244140625,73.16000366210938,FILLED,2600
Book,600007.SH_20260916_585_pending_chase,600007.SH,2026-09-16 09:46:00,2026-09-16 09:47:00,2026-09-16 09:46:00.001000,19.450000762939453,19.34000015258789,before_submit,0
Book,600007.SH_20260916_585_pending_chase,600007.SH,2026-09-16 09:47:00,2026-09-16 09:48:00,2026-09-16 09:46:00.001000,19.479999542236328,19.34000015258789,FILLED,500
v7,600007.SH_20260916_884_trial,600007.SH,2026-09-16 14:45:00,2026-09-16 14:46:00,2026-09-16 14:45:00.001000,19.75,19.34000015258789,before_submit,0
v7,600007.SH_20260916_884_trial,600007.SH,2026-09-16 14:46:00,2026-09-16 14:47:00,2026-09-16 14:45:00.001000,19.75,19.34000015258789,FILLED,10100
v7,600007.SH_20260916_885_trial,600007.SH,2026-09-16 14:46:00,2026-09-16 14:47:00,2026-09-16 14:46:00.001000,19.75,19.34000015258789,before_submit,0
v7,600007.SH_20260916_885_trial,600007.SH,2026-09-16 14:47:00,2026-09-16 14:48:00,2026-09-16 14:46:00.001000,19.770000457763672,19.34000015258789,FILLED,10100
v7,600007.SH_20260916_894_trial,600007.SH,2026-09-16 14:55:00,2026-09-16 14:56:00,2026-09-16 14:55:00.001000,19.760000228881836,19.34000015258789,before_submit,0
v7,600007.SH_20260916_894_trial,600007.SH,2026-09-16 14:56:00,2026-09-16 14:57:00,2026-09-16 14:55:00.001000,19.790000915527344,19.34000015258789,FILLED,10100
v7,600007.SH_20260917_884_trial,600007.SH,2026-09-17 14:45:00,2026-09-17 14:46:00,2026-09-17 14:45:00.001000,19.90999984741211,19.780000686645508,before_submit,0
v7,600007.SH_20260917_884_trial,600007.SH,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:45:00.001000,19.90999984741211,19.780000686645508,FILLED,10000
v7,600007.SH_20260917_885_trial,600007.SH,2026-09-17 14:46:00,2026-09-17 14:47:00,2026-09-17 14:46:00.001000,19.90999984741211,19.780000686645508,before_submit,0
v7,600007.SH_20260917_885_trial,600007.SH,2026-09-17 14:47:00,2026-09-17 14:48:00,2026-09-17 14:46:00.001000,19.90999984741211,19.780000686645508,FILLED,10000
v7,600007.SH_20260917_894_trial,600007.SH,2026-09-17 14:55:00,2026-09-17 14:56:00,2026-09-17 14:55:00.001000,19.90999984741211,19.780000686645508,before_submit,0
v7,600007.SH_20260917_894_trial,600007.SH,2026-09-17 14:56:00,2026-09-17 14:57:00,2026-09-17 14:55:00.001000,19.920000076293945,19.780000686645508,FILLED,10000
v7,600007.SH_20260918_884_trial,600007.SH,2026-09-18 14:45:00,2026-09-18 14:46:00,2026-09-18 14:45:00.001000,19.860000610351562,19.90999984741211,before_submit,0
v7,600007.SH_20260918_884_trial,600007.SH,2026-09-18 14:46:00,2026-09-18 14:47:00,2026-09-18 14:45:00.001000,19.860000610351562,19.90999984741211,FILLED,10000
v7,600007.SH_20260918_885_trial,600007.SH,2026-09-18 14:46:00,2026-09-18 14:47:00,2026-09-18 14:46:00.001000,19.860000610351562,19.90999984741211,before_submit,0
v7,600007.SH_20260918_885_trial,600007.SH,2026-09-18 14:47:00,2026-09-18 14:48:00,2026-09-18 14:46:00.001000,19.850000381469727,19.90999984741211,FILLED,10000
v7,600007.SH_20260918_894_trial,600007.SH,2026-09-18 14:55:00,2026-09-18 14:56:00,2026-09-18 14:55:00.001000,19.889999389648438,19.90999984741211,before_submit,0
v7,600007.SH_20260918_894_trial,600007.SH,2026-09-18 14:56:00,2026-09-18 14:57:00,2026-09-18 14:55:00.001000,19.889999389648438,19.90999984741211,FILLED,10000
Book,600276.SH_20260916_585_pending_chase,600276.SH,2026-09-16 09:46:00,2026-09-16 09:47:00,2026-09-16 09:46:00.001000,43.58000183105469,43.130001068115234,before_submit,0
Book,600276.SH_20260916_585_pending_chase,600276.SH,2026-09-16 09:47:00,2026-09-16 09:48:00,2026-09-16 09:46:00.001000,43.540000915527344,43.130001068115234,FILLED,200
Book,600276.SH_20260917_585_pending_chase,600276.SH,2026-09-17 09:46:00,2026-09-17 09:47:00,2026-09-17 09:46:00.001000,43.400001525878906,43.52000045776367,before_submit,0
Book,600276.SH_20260917_585_pending_chase,600276.SH,2026-09-17 09:47:00,2026-09-17 09:48:00,2026-09-17 09:46:00.001000,43.459999084472656,43.52000045776367,FILLED,200
Book,600276.SH_20260918_585_pending_chase,600276.SH,2026-09-18 09:46:00,2026-09-18 09:47:00,2026-09-18 09:46:00.001000,43.70000076293945,43.22999954223633,before_submit,0
Book,600276.SH_20260918_585_pending_chase,600276.SH,2026-09-18 09:47:00,2026-09-18 09:48:00,2026-09-18 09:46:00.001000,43.709999084472656,43.22999954223633,FILLED,200
