engine,case_id,symbol,scope,axis,volume_status,raw_volume,volume_unit,available_at,bucket,note,cap_on,participation_rate,status,reason,action,shares,fill_px,cash_after,production_replay,full_replay_status,full_strategy_nav,full_strategy_return,max_drawdown,strategy_rank,strategy_rank_delta
v7,000021.SZ_20260918_885_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_885_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_885_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_885_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_894_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,buy:add_a104,add_a104,5400,36.95000076293945,800270.4658760071,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_894_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,add_a104,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_894_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_894_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_894_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_894_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_894_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260918_894_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
Book,002025.SZ_20260916_585_pending_chase,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,586,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,chase:T+1,buy,100,68.98999786376953,993094.1012138367,DATA_GAP,DATA_GAP,,,,,
Book,002025.SZ_20260916_585_pending_chase,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,586,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,buy,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_884_trial,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,buy:add_a104,add_a104,2800,70.37999725341797,802738.9436981201,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_884_trial,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,add_a104,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_884_four,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,buy:add_a108,add_a108,2800,70.37999725341797,802738.9436981201,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_884_four,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,add_a108,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_884_six,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_884_six,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_884_eight,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_884_eight,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_885_trial,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,buy:add_a104,add_a104,2800,70.52999877929688,802318.5194213868,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_885_trial,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,add_a104,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_885_four,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,buy:add_a108,add_a108,2800,70.52999877929688,802318.5194213868,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_885_four,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,add_a108,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_885_six,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_885_six,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_885_eight,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_885_eight,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,886,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_894_trial,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,buy:add_a104,add_a104,2800,70.18000030517578,803299.4951446534,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_894_trial,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,add_a104,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_894_four,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_894_four,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_894_six,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_894_six,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_894_eight,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,002025.SZ_20260916_894_eight,002025.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
