engine,case_id,symbol,date,scope,axis,source,stage,signal_hm,bar_label_semantics,quote_at,close_available_at,decision_at,submit_at,decision_px,limit_reference_at,limit_reference_px,limit_reference_kind,injected_entry_a,injected_anchor_at,injected_lot_shares,injected_cash,baseline_status,baseline_reason,baseline_fill_at,baseline_fill_px,baseline_shares,baseline_cash_after,next_status,next_reason,next_fill_at,next_fill_px,next_shares,next_cash_after,matched_fill,status_match,same_price,price_diff,price_diff_bp,fixed_exit_day,fixed_exit_px,exit_mark_at,local_pair_status,baseline_local_pnl,next_local_pnl,baseline_local_return,next_local_return,local_pnl_delta,local_return_delta_bp,baseline_local_rank,next_local_rank,local_rank_delta,production_replay,full_replay_status,full_strategy_nav,full_strategy_return,max_drawdown,strategy_rank,strategy_rank_delta,action,source_lineage
v7,002025.SZ_20260918_884_six,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,six,884,lake_index_is_bar_start_wallclock,2026-09-18 14:44:00,2026-09-18 14:45:00,2026-09-18 14:45:00,2026-09-18 14:45:00.001000,74.44999694824219,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,FILLED,buy:add_a112,2026-09-18 14:45:00,74.44999694824219,2600,806236.4379425049,FILLED,first_eligible_open,2026-09-18 14:46:00,74.31999969482422,2600,806574.7687942504,True,True,False,-0.12999725341796875,-17.461015278260604,2026-09-19,,,DATA_GAP,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,add_a112,parquet_lineage
v7,002025.SZ_20260918_884_eight,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,eight,884,lake_index_is_bar_start_wallclock,2026-09-18 14:44:00,2026-09-18 14:45:00,2026-09-18 14:45:00,2026-09-18 14:45:00.001000,74.44999694824219,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-19,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,002025.SZ_20260918_885_trial,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,trial,885,lake_index_is_bar_start_wallclock,2026-09-18 14:45:00,2026-09-18 14:46:00,2026-09-18 14:46:00,2026-09-18 14:46:00.001000,74.33000183105469,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,FILLED,buy:add_a104,2026-09-18 14:46:00,74.33000183105469,2600,806548.7372344971,FILLED,first_eligible_open,2026-09-18 14:47:00,74.33999633789062,2600,806522.7255310059,True,True,False,0.0099945068359375,1.344612752554042,2026-09-19,,,DATA_GAP,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,add_a104,parquet_lineage
v7,002025.SZ_20260918_885_four,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,four,885,lake_index_is_bar_start_wallclock,2026-09-18 14:45:00,2026-09-18 14:46:00,2026-09-18 14:46:00,2026-09-18 14:46:00.001000,74.33000183105469,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,FILLED,buy:add_a108,2026-09-18 14:46:00,74.33000183105469,2600,806548.7372344971,FILLED,first_eligible_open,2026-09-18 14:47:00,74.33999633789062,2600,806522.7255310059,True,True,False,0.0099945068359375,1.344612752554042,2026-09-19,,,DATA_GAP,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,add_a108,parquet_lineage
v7,002025.SZ_20260918_885_six,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,six,885,lake_index_is_bar_start_wallclock,2026-09-18 14:45:00,2026-09-18 14:46:00,2026-09-18 14:46:00,2026-09-18 14:46:00.001000,74.33000183105469,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,FILLED,buy:add_a112,2026-09-18 14:46:00,74.33000183105469,2600,806548.7372344971,FILLED,first_eligible_open,2026-09-18 14:47:00,74.33999633789062,2600,806522.7255310059,True,True,False,0.0099945068359375,1.344612752554042,2026-09-19,,,DATA_GAP,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,add_a112,parquet_lineage
v7,002025.SZ_20260918_885_eight,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,eight,885,lake_index_is_bar_start_wallclock,2026-09-18 14:45:00,2026-09-18 14:46:00,2026-09-18 14:46:00,2026-09-18 14:46:00.001000,74.33000183105469,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-19,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
v7,002025.SZ_20260918_894_trial,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,trial,894,lake_index_is_bar_start_wallclock,2026-09-18 14:54:00,2026-09-18 14:55:00,2026-09-18 14:55:00,2026-09-18 14:55:00.001000,74.22000122070312,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,FILLED,buy:add_a104,2026-09-18 14:55:00,74.22000122070312,2600,806835.0248229981,FILLED,first_eligible_open,2026-09-18 14:56:00,74.19000244140625,2600,806913.0996459961,True,True,False,-0.029998779296875,-4.041872649350742,2026-09-19,,,DATA_GAP,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,add_a104,parquet_lineage
v7,002025.SZ_20260918_894_four,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,four,894,lake_index_is_bar_start_wallclock,2026-09-18 14:54:00,2026-09-18 14:55:00,2026-09-18 14:55:00,2026-09-18 14:55:00.001000,74.22000122070312,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,FILLED,buy:add_a108,2026-09-18 14:55:00,74.22000122070312,2600,806835.0248229981,FILLED,first_eligible_open,2026-09-18 14:56:00,74.19000244140625,2600,806913.0996459961,True,True,False,-0.029998779296875,-4.041872649350742,2026-09-19,,,DATA_GAP,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,add_a108,parquet_lineage
v7,002025.SZ_20260918_894_six,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,six,894,lake_index_is_bar_start_wallclock,2026-09-18 14:54:00,2026-09-18 14:55:00,2026-09-18 14:55:00,2026-09-18 14:55:00.001000,74.22000122070312,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,FILLED,buy:add_a112,2026-09-18 14:55:00,74.22000122070312,2600,806835.0248229981,FILLED,first_eligible_open,2026-09-18 14:56:00,74.19000244140625,2600,806913.0996459961,True,True,False,-0.029998779296875,-4.041872649350742,2026-09-19,,,DATA_GAP,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,add_a112,parquet_lineage
v7,002025.SZ_20260918_894_eight,002025.SZ,2026-09-18,local event sensitivity not strategy claim,clock,qlib_bin_1min,eight,894,lake_index_is_bar_start_wallclock,2026-09-18 14:54:00,2026-09-18 14:55:00,2026-09-18 14:55:00,2026-09-18 14:55:00.001000,74.22000122070312,2026-09-17 15:00:00,73.16000366210938,previous_calendar_day_1500_minute_close_proxy_not_official_daily,64.98999786376953,2026-09-07 09:30:00,100,1000000.0,NO_FILL,none,,,0,1000000.0,NO_FILL,no_baseline_order,,,0,1000000.0,False,True,,,,2026-09-19,,,NO_FILL,,,,,,,,,,DATA_GAP,DATA_GAP,,,,,,none,parquet_lineage
